AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_06;TRA_HOM_05;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2010;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;15101;ARICA;2;2;110;5;10;7;3;2;8;0;0;35;3;5;5;4;1;3;0;0;21;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
2010;36;1;ESCUELA IGNACIO CARRERA PINTO;15;15101;ARICA;2;2;110;16;13;16;16;14;16;21;17;129;11;17;18;13;16;17;7;7;106;2;1;0;2;2;0;0;0;7;2;3;0;2;0;0;0;0;7;1;0;0;0;1;2;0;0;4;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;2;5;1;1;0;0;2;1;0;0;5
2010;38;8;ESCUELA ESPAÑA;15;15101;ARICA;2;2;110;22;17;19;14;20;19;17;23;151;16;18;15;23;13;14;10;12;121;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;4;2;1;0;1;0;0;0;0;4;1;0;1;0;2;0;0;0;4
2010;39;6;ESCUELA PAMPA ALGODONAL;15;15101;ARICA;2;2;110;1;5;1;2;2;3;0;0;14;3;3;1;2;2;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010;41;8;ESCUELA VALLE DE CHACA;15;15101;ARICA;2;2;110;1;0;0;1;0;1;0;0;3;2;0;0;1;1;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;42;6;ESCUELA MOLINOS LLUTA;15;15101;ARICA;2;2;110;0;3;0;0;0;0;0;0;3;0;0;0;0;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;45;0;COLEGIO ITALIANO SANTA ANA;15;15101;ARICA;3;1;110;0;0;0;0;0;0;0;0;0;77;83;82;81;85;77;67;71;623;0;0;0;0;0;0;0;0;0;1;1;1;0;3;3;8;6;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;5;2;5;2;2;3;1;24
2010;45;0;COLEGIO ITALIANO SANTA ANA;15;15101;ARICA;3;1;310;0;0;0;0;0;0;0;0;0;71;62;51;49;0;0;0;0;233;0;0;0;0;0;0;0;0;0;12;2;2;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;2;1;0;0;0;0;8
2010;50;7;COLEGIO ADVENTISTA DE ARICA;15;15101;ARICA;3;2;110;29;22;20;31;26;28;28;19;203;34;21;23;16;31;31;38;27;221;0;0;0;0;0;1;0;0;1;0;1;0;0;3;0;2;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;3;0;1;1;1;0;9;0;0;0;0;1;2;0;0;3
2010;50;7;COLEGIO ADVENTISTA DE ARICA;15;15101;ARICA;3;2;310;23;22;17;14;0;0;0;0;76;24;23;16;19;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1
