RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;AGNO
26;4;ESCUELA  REPUBLICA ARGENTINA;E;1;1;1201;ARICA;2;0;110;16;22;23;17;12;25;19;29;163;13;15;18;14;15;29;14;26;144;1;2;0;1;6;2;1;0;13;1;0;0;0;2;1;1;1;6;1;0;0;0;0;1;0;1;3;0;0;0;0;0;1;0;1;2;1;2;1;1;0;1;1;0;7;0;1;1;1;0;2;1;0;6;2006
27;2;ESCUELA  ESMERALDA;E;5;1;1201;ARICA;2;0;110;9;17;15;21;19;9;17;27;134;10;8;15;10;13;17;20;18;111;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;0;0;0;2;3;0;0;1;0;1;0;0;0;2;2;1;1;0;2;1;0;2;9;0;2;1;0;1;3;0;2;9;2006
28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;1;1201;ARICA;2;0;110;26;23;30;32;34;41;20;40;246;18;16;27;29;29;29;37;32;217;1;0;0;0;1;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;3;0;0;0;0;1;0;1;1;3;2006
28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;1;1201;ARICA;2;0;160;0;3;6;14;0;0;0;0;23;0;12;12;25;0;0;0;0;49;0;0;4;4;0;0;0;0;8;0;0;6;1;0;0;0;0;7;0;5;6;2;0;0;0;0;13;0;7;8;5;0;0;0;0;20;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
28;0;ESCUELA  RICARDO SILVA ARRIAGADA;E;15;1;1201;ARICA;2;0;361;0;0;36;0;0;0;0;0;36;0;0;62;0;0;0;0;0;62;0;0;40;0;0;0;0;0;40;0;0;39;0;0;0;0;0;39;0;0;22;0;0;0;0;0;22;0;0;18;0;0;0;0;0;18;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;2006
29;9;ESCUELA AMERICA;E;26;1;1201;ARICA;2;0;110;16;27;31;31;27;39;28;31;230;22;29;26;34;34;24;45;47;261;3;3;0;1;0;1;1;0;9;1;0;0;0;0;1;0;0;2;0;0;2;1;0;2;0;0;5;1;0;1;0;1;0;1;1;5;0;4;0;0;1;5;1;1;12;0;3;0;1;2;0;2;0;8;2006
31;0;ESCUELA  DARIO SALAS DIAZ;F;3;1;1201;ARICA;2;1;110;11;8;11;15;16;15;12;10;98;11;17;15;18;19;15;18;18;131;3;0;2;0;0;1;2;0;8;0;0;0;0;3;0;1;0;4;0;1;2;1;0;0;0;0;4;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
32;9;LICEO AGRICOLA JOSE ABELARDO NUÑEZ M.;F;25;1;1201;ARICA;2;1;110;15;11;11;13;16;11;15;14;106;13;14;11;15;10;8;12;16;99;0;0;0;0;0;2;1;1;4;0;1;0;0;2;0;0;0;3;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;1;0;0;1;0;0;1;0;3;2006
32;9;LICEO AGRICOLA JOSE ABELARDO NUÑEZ M.;F;25;1;1201;ARICA;2;1;610;0;0;0;10;0;0;0;0;10;0;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006
32;9;LICEO AGRICOLA JOSE ABELARDO NUÑEZ M.;F;25;1;1201;ARICA;2;1;710;13;23;8;9;0;0;0;0;53;12;14;10;4;0;0;0;0;40;2;7;0;0;0;0;0;0;9;2;9;0;1;0;0;0;0;12;7;6;4;1;0;0;0;0;18;4;2;0;2;0;0;0;0;8;2;1;1;0;0;0;0;0;4;1;0;2;0;0;0;0;0;3;2006
