AGNO;RBD;DV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;SI_HOM_01;SI_HOM_02;SI_HOM_03;SI_HOM_04;SI_HOM_05;SI_HOM_06;SI_HOM_07;SI_HOM_08;SI_HOM_TO;SI_MUJ_01;SI_MUJ_02;SI_MUJ_03;SI_MUJ_04;SI_MUJ_05;SI_MUJ_06;SI_MUJ_07;SI_MUJ_08;SI_MUJ_TO
2012;25257;3;ESCUELA NORMAY SCHOOL;13;13201;PUENTE ALTO;3;0;110;3;5;4;8;10;9;9;12;60;0;1;0;3;7;5;2;4;22;0;1;0;1;2;4;9;4;21;1;0;0;1;2;2;6;2;14;3;0;0;0;1;0;1;0;5;0;0;0;0;0;1;0;0;1;0;1;2;4;1;2;1;5;16;0;1;0;1;1;4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25257;3;ESCUELA NORMAY SCHOOL;13;13201;PUENTE ALTO;3;0;310;11;12;0;0;0;0;0;0;23;9;11;0;0;0;0;0;0;20;7;2;0;0;0;0;0;0;9;5;1;0;0;0;0;0;0;6;3;1;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;5;1;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25258;1;COLEGIO POLIV. SANTA CECILIA DE MAIPU;13;13119;MAIPU;3;0;110;7;12;13;12;11;12;22;23;112;10;7;12;6;12;13;19;16;95;0;0;0;1;0;1;1;5;8;1;0;1;0;0;1;4;2;9;0;0;1;0;0;4;2;3;10;1;0;0;0;0;1;3;3;8;0;3;0;1;4;2;2;5;17;1;1;0;2;2;1;3;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25258;1;COLEGIO POLIV. SANTA CECILIA DE MAIPU;13;13119;MAIPU;3;0;310;27;20;20;17;0;0;0;0;84;48;33;16;11;0;0;0;0;108;15;4;1;2;0;0;0;0;22;12;9;0;1;0;0;0;0;22;7;6;3;0;0;0;0;0;16;8;5;1;1;0;0;0;0;15;7;7;2;5;0;0;0;0;21;8;5;3;2;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25258;1;COLEGIO POLIV. SANTA CECILIA DE MAIPU;13;13119;MAIPU;3;0;410;0;0;7;12;0;0;0;0;19;0;0;9;9;0;0;0;0;18;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25258;1;COLEGIO POLIV. SANTA CECILIA DE MAIPU;13;13119;MAIPU;3;0;610;0;0;0;0;0;0;0;0;0;0;0;18;10;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25265;4;COLEGIO ANTIL MAWIDA;13;13109;LA CISTERNA;3;0;110;11;10;14;13;12;14;21;16;111;8;14;8;12;12;8;7;11;80;0;0;0;0;0;4;1;2;7;0;0;0;0;0;1;1;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;5;1;3;0;12;1;0;1;2;0;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25265;4;COLEGIO ANTIL MAWIDA;13;13109;LA CISTERNA;3;0;310;25;23;27;25;0;0;0;0;100;29;26;32;34;0;0;0;0;121;8;5;2;3;0;0;0;0;18;3;0;2;0;0;0;0;0;5;1;0;0;0;0;0;0;0;1;3;0;1;1;0;0;0;0;5;24;8;10;7;0;0;0;0;49;15;6;8;6;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25269;7;COLEGIO NUEVO DIEGO DE ALMAGRO;13;13101;SANTIAGO;3;0;110;10;20;17;18;17;17;24;17;140;9;11;13;15;13;11;12;9;93;0;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;5;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;25269;7;COLEGIO NUEVO DIEGO DE ALMAGRO;13;13101;SANTIAGO;3;0;310;26;14;9;9;0;0;0;0;58;23;14;17;20;0;0;0;0;74;2;3;2;0;0;0;0;0;7;6;2;0;0;0;0;0;0;8;1;5;1;0;0;0;0;0;7;1;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;3;1;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
